layer,benign_frob,malicious_frob,ratio_mal_over_ben
base_model.model.model.layers.0.self_attn.k_proj,0.10665876418352127,0.16588306427001953,1.55526895084397
base_model.model.model.layers.0.self_attn.o_proj,0.3926831781864166,0.5801461935043335,1.4773899818772565
base_model.model.model.layers.0.self_attn.q_proj,0.34391704201698303,0.5480893850326538,1.5936674199634122
base_model.model.model.layers.0.self_attn.v_proj,0.12881597876548767,0.18137124180793762,1.407987142170677
base_model.model.model.layers.1.self_attn.k_proj,0.15819498896598816,0.23961183428764343,1.5146613420173496
base_model.model.model.layers.1.self_attn.o_proj,0.4747368395328522,0.6043990850448608,1.2731244654187743
base_model.model.model.layers.1.self_attn.q_proj,0.34891125559806824,0.6148455739021301,1.7621832601766438
base_model.model.model.layers.1.self_attn.v_proj,0.11116133630275726,0.18124549090862274,1.6304724010782434
base_model.model.model.layers.10.self_attn.k_proj,0.17537321150302887,0.2821944057941437,1.6091078185522645
base_model.model.model.layers.10.self_attn.o_proj,0.3566761612892151,0.6758919358253479,1.8949736741090832
base_model.model.model.layers.10.self_attn.q_proj,0.38316771388053894,0.5941653251647949,1.5506664670344308
base_model.model.model.layers.10.self_attn.v_proj,0.15382787585258484,0.2718696594238281,1.76736276124858
base_model.model.model.layers.11.self_attn.k_proj,0.17316658794879913,0.297157347202301,1.7160201094345218
base_model.model.model.layers.11.self_attn.o_proj,0.3830135464668274,0.630854606628418,1.6470817088529686
base_model.model.model.layers.11.self_attn.q_proj,0.36169108748435974,0.6020231246948242,1.6644676784325159
base_model.model.model.layers.11.self_attn.v_proj,0.13786984980106354,0.21365706622600555,1.549701160437163
base_model.model.model.layers.12.self_attn.k_proj,0.1888144314289093,0.3397603929042816,1.79944080721502
base_model.model.model.layers.12.self_attn.o_proj,0.37044137716293335,0.6020094752311707,1.6251140189622646
base_model.model.model.layers.12.self_attn.q_proj,0.3842458128929138,0.6038280129432678,1.5714628310381868
base_model.model.model.layers.12.self_attn.v_proj,0.14989909529685974,0.24884477257728577,1.6600818843134062
base_model.model.model.layers.13.self_attn.k_proj,0.15671293437480927,0.2710512578487396,1.7296036152348992
base_model.model.model.layers.13.self_attn.o_proj,0.3975333869457245,0.6628110408782959,1.6673091182874407
base_model.model.model.layers.13.self_attn.q_proj,0.38579824566841125,0.6163558959960938,1.5976119718435524
base_model.model.model.layers.13.self_attn.v_proj,0.13358372449874878,0.22931821644306183,1.7166628442464917
base_model.model.model.layers.14.self_attn.k_proj,0.1565447300672531,0.269218385219574,1.71975374133588
base_model.model.model.layers.14.self_attn.o_proj,0.31835293769836426,0.6201791763305664,1.9480868648938903
base_model.model.model.layers.14.self_attn.q_proj,0.350584477186203,0.5410515666007996,1.5432844344486918
base_model.model.model.layers.14.self_attn.v_proj,0.13130585849285126,0.2532425820827484,1.9286464822629052
base_model.model.model.layers.15.self_attn.k_proj,0.15578357875347137,0.2983119487762451,1.9149126702778212
base_model.model.model.layers.15.self_attn.o_proj,0.35829228162765503,0.6480315923690796,1.8086674639632003
base_model.model.model.layers.15.self_attn.q_proj,0.388171911239624,0.6375893950462341,1.6425438744655616
base_model.model.model.layers.15.self_attn.v_proj,0.1269102245569229,0.23070117831230164,1.8178297226857831
base_model.model.model.layers.16.self_attn.k_proj,0.15477493405342102,0.29454267024993896,1.9030385769589584
base_model.model.model.layers.16.self_attn.o_proj,0.37436920404434204,0.6295511722564697,1.681631836848158
base_model.model.model.layers.16.self_attn.q_proj,0.41493138670921326,0.6542732119560242,1.576822657704955
base_model.model.model.layers.16.self_attn.v_proj,0.1437719315290451,0.2560725212097168,1.7811023228688034
base_model.model.model.layers.17.self_attn.k_proj,0.16462494432926178,0.3086760640144348,1.8750260798695269
base_model.model.model.layers.17.self_attn.o_proj,0.40533262491226196,0.6860471963882446,1.6925536071436291
base_model.model.model.layers.17.self_attn.q_proj,0.3846127390861511,0.688399076461792,1.7898499100613368
base_model.model.model.layers.17.self_attn.v_proj,0.13087747991085052,0.20513515174388885,1.567383111927432
base_model.model.model.layers.18.self_attn.k_proj,0.17508794367313385,0.3198537230491638,1.8268175200360377
base_model.model.model.layers.18.self_attn.o_proj,0.42950135469436646,0.700510561466217,1.6309856856323561
base_model.model.model.layers.18.self_attn.q_proj,0.41109222173690796,0.6649631857872009,1.6175523413643327
base_model.model.model.layers.18.self_attn.v_proj,0.1436653882265091,0.2523562014102936,1.7565553159708713
base_model.model.model.layers.19.self_attn.k_proj,0.17290371656417847,0.29441186785697937,1.7027503729088407
base_model.model.model.layers.19.self_attn.o_proj,0.444103479385376,0.7358420491218567,1.6569157488705941
base_model.model.model.layers.19.self_attn.q_proj,0.3930867910385132,0.6822629570960999,1.735654752716568
base_model.model.model.layers.19.self_attn.v_proj,0.15743573009967804,0.2758321166038513,1.7520299644128585
base_model.model.model.layers.2.self_attn.k_proj,0.14484544098377228,0.29064908623695374,2.0066153567754785
base_model.model.model.layers.2.self_attn.o_proj,0.37242060899734497,0.5696669816970825,1.52963334448858
base_model.model.model.layers.2.self_attn.q_proj,0.36527305841445923,0.53542160987854,1.4658119386155788
base_model.model.model.layers.2.self_attn.v_proj,0.1386524736881256,0.2215012013912201,1.5975279452240292
base_model.model.model.layers.20.self_attn.k_proj,0.21515201032161713,0.3910716474056244,1.817652769411897
base_model.model.model.layers.20.self_attn.o_proj,0.47842472791671753,0.9260042905807495,1.935527652621553
base_model.model.model.layers.20.self_attn.q_proj,0.44811108708381653,0.7696096897125244,1.7174529082083914
base_model.model.model.layers.20.self_attn.v_proj,0.1545349508523941,0.299803227186203,1.9400350893602292
base_model.model.model.layers.21.self_attn.k_proj,0.2139587551355362,0.382159560918808,1.7861365882257159
base_model.model.model.layers.21.self_attn.o_proj,0.542210578918457,0.8730883002281189,1.6102384095302251
base_model.model.model.layers.21.self_attn.q_proj,0.42832431197166443,0.7983558773994446,1.8639051183540087
base_model.model.model.layers.21.self_attn.v_proj,0.15022216737270355,0.2673514783382416,1.7797072363823534
base_model.model.model.layers.22.self_attn.k_proj,0.18666136264801025,0.3161523640155792,1.693721504710923
base_model.model.model.layers.22.self_attn.o_proj,0.4860166609287262,0.9337339997291565,1.921197511922513
base_model.model.model.layers.22.self_attn.q_proj,0.4327804148197174,0.7280892133712769,1.682352501266897
base_model.model.model.layers.22.self_attn.v_proj,0.17057718336582184,0.3639208972454071,2.1334676189660025
base_model.model.model.layers.23.self_attn.k_proj,0.15756331384181976,0.2885879576206207,1.8315682158750395
base_model.model.model.layers.23.self_attn.o_proj,0.5090528726577759,0.7278796434402466,1.4298704172711403
base_model.model.model.layers.23.self_attn.q_proj,0.4075453281402588,0.7090441584587097,1.7397921396725926
base_model.model.model.layers.23.self_attn.v_proj,0.15327821671962738,0.28378698229789734,1.8514501823634422
base_model.model.model.layers.24.self_attn.k_proj,0.20114311575889587,0.3241872787475586,1.6117244556167263
base_model.model.model.layers.24.self_attn.o_proj,0.5250128507614136,0.8285733461380005,1.578196314502284
base_model.model.model.layers.24.self_attn.q_proj,0.43494269251823425,0.8271471261978149,1.9017381839634842
base_model.model.model.layers.24.self_attn.v_proj,0.159433513879776,0.29184579849243164,1.830517256945762
base_model.model.model.layers.25.self_attn.k_proj,0.15364617109298706,0.2818080484867096,1.8341364869818892
base_model.model.model.layers.25.self_attn.o_proj,0.4801071286201477,0.7077234983444214,1.4740949595529953
base_model.model.model.layers.25.self_attn.q_proj,0.3830971419811249,0.6643210053443909,1.7340797738896256
base_model.model.model.layers.25.self_attn.v_proj,0.15867790579795837,0.23836970329284668,1.5022236529662698
base_model.model.model.layers.26.self_attn.k_proj,0.17126736044883728,0.31683000922203064,1.8499147087438024
base_model.model.model.layers.26.self_attn.o_proj,0.569668710231781,0.7857717275619507,1.3793485818138824
base_model.model.model.layers.26.self_attn.q_proj,0.41800031065940857,0.7105504870414734,1.699880284587726
base_model.model.model.layers.26.self_attn.v_proj,0.16482138633728027,0.26095443964004517,1.5832559441409149
base_model.model.model.layers.27.self_attn.k_proj,0.1732148379087448,0.2942732274532318,1.698891567293239
base_model.model.model.layers.27.self_attn.o_proj,0.5745591521263123,0.6174024939537048,1.074567329871675
base_model.model.model.layers.27.self_attn.q_proj,0.39337074756622314,0.6328176856040955,1.6087055011571798
base_model.model.model.layers.27.self_attn.v_proj,0.1492658108472824,0.29494771361351013,1.9759897590700024
base_model.model.model.layers.3.self_attn.k_proj,0.150517076253891,0.24547109007835388,1.6308521012213606
base_model.model.model.layers.3.self_attn.o_proj,0.36787840723991394,0.6043429374694824,1.6427790421397492
base_model.model.model.layers.3.self_attn.q_proj,0.38024091720581055,0.5656569600105286,1.4876278023081853
base_model.model.model.layers.3.self_attn.v_proj,0.14053331315517426,0.22435341775417328,1.5964429551763746
base_model.model.model.layers.4.self_attn.k_proj,0.18746818602085114,0.3070875108242035,1.6380779978851863
base_model.model.model.layers.4.self_attn.o_proj,0.3963230848312378,0.6158828139305115,1.553991774647108
base_model.model.model.layers.4.self_attn.q_proj,0.3438202440738678,0.5788553357124329,1.6835987574602185
base_model.model.model.layers.4.self_attn.v_proj,0.15956243872642517,0.23580721020698547,1.4778365891692364
base_model.model.model.layers.5.self_attn.k_proj,0.13866448402404785,0.2562188506126404,1.8477611799154403
base_model.model.model.layers.5.self_attn.o_proj,0.3812679946422577,0.5701397061347961,1.4953778291035313
base_model.model.model.layers.5.self_attn.q_proj,0.3232078552246094,0.5120347738265991,1.5842275042194343
base_model.model.model.layers.5.self_attn.v_proj,0.146445170044899,0.2403193712234497,1.6410194419506605
base_model.model.model.layers.6.self_attn.k_proj,0.15085573494434357,0.2435012310743332,1.6141330733244585
base_model.model.model.layers.6.self_attn.o_proj,0.6160303950309753,0.8767735958099365,1.4232635319331126
base_model.model.model.layers.6.self_attn.q_proj,0.3588857650756836,0.5579848289489746,1.5547700222417682
base_model.model.model.layers.6.self_attn.v_proj,0.1567797064781189,0.2587798833847046,1.6505955343194971
base_model.model.model.layers.7.self_attn.k_proj,0.15085121989250183,0.2557303011417389,1.6952484794221419
base_model.model.model.layers.7.self_attn.o_proj,0.4052771031856537,0.6506325602531433,1.6054017242496292
base_model.model.model.layers.7.self_attn.q_proj,0.3510477840900421,0.6163699626922607,1.755800750288071
base_model.model.model.layers.7.self_attn.v_proj,0.1462336778640747,0.22399212419986725,1.5317410289582514
base_model.model.model.layers.8.self_attn.k_proj,0.19051486253738403,0.3021621108055115,1.5860290729087831
base_model.model.model.layers.8.self_attn.o_proj,0.4116039276123047,0.7206911444664001,1.750933594455952
base_model.model.model.layers.8.self_attn.q_proj,0.38549551367759705,0.6069783568382263,1.5745406504156176
base_model.model.model.layers.8.self_attn.v_proj,0.16149644553661346,0.23776404559612274,1.4722555955091803
base_model.model.model.layers.9.self_attn.k_proj,0.165532186627388,0.28760090470314026,1.7374319192105414
base_model.model.model.layers.9.self_attn.o_proj,0.39465099573135376,0.6727163195610046,1.7045853851561927
base_model.model.model.layers.9.self_attn.q_proj,0.3693215250968933,0.5679815411567688,1.5379053279056942
base_model.model.model.layers.9.self_attn.v_proj,0.1591579020023346,0.25702911615371704,1.6149315423242185
