layer,KL_ben_to_mal,JS_divergence
base_model.model.model.layers.0.self_attn.k_proj,0.12392445396142515,0.03316350693856995
base_model.model.model.layers.0.self_attn.o_proj,0.07666023534545796,0.020719342082705282
base_model.model.model.layers.0.self_attn.q_proj,0.0967958352834226,0.026736542812058502
base_model.model.model.layers.0.self_attn.v_proj,0.07079260769208717,0.019393433836359785
base_model.model.model.layers.1.self_attn.k_proj,0.10008732702569399,0.02757141254314638
base_model.model.model.layers.1.self_attn.o_proj,0.03399376649786829,0.008722227308903563
base_model.model.model.layers.1.self_attn.q_proj,0.13619156449286815,0.03831019810474077
base_model.model.model.layers.1.self_attn.v_proj,0.12785870330191848,0.03634380533042785
base_model.model.model.layers.10.self_attn.k_proj,0.12081035410398816,0.03372491531828149
base_model.model.model.layers.10.self_attn.o_proj,0.2001716891001619,0.05668530973151441
base_model.model.model.layers.10.self_attn.q_proj,0.11047636268320746,0.030575815338651738
base_model.model.model.layers.10.self_attn.v_proj,0.1573680498197887,0.044233906080466616
base_model.model.model.layers.11.self_attn.k_proj,0.1378632783118605,0.038830245318005864
base_model.model.model.layers.11.self_attn.o_proj,0.14139466999749792,0.03887194640337202
base_model.model.model.layers.11.self_attn.q_proj,0.15686561717732242,0.04357186645810579
base_model.model.model.layers.11.self_attn.v_proj,0.11549053638468718,0.03229098136049929
base_model.model.model.layers.12.self_attn.k_proj,0.14256288995285255,0.04054692667423169
base_model.model.model.layers.12.self_attn.o_proj,0.13479095684246933,0.037205479192679705
base_model.model.model.layers.12.self_attn.q_proj,0.11490104291373746,0.03243909784270609
base_model.model.model.layers.12.self_attn.v_proj,0.1329208248099123,0.036840586526682303
base_model.model.model.layers.13.self_attn.k_proj,0.15118151032133617,0.04296026816099316
base_model.model.model.layers.13.self_attn.o_proj,0.15919766233904306,0.04370518908734987
base_model.model.model.layers.13.self_attn.q_proj,0.13661821037818145,0.03721139441714362
base_model.model.model.layers.13.self_attn.v_proj,0.17590150541697144,0.04991845465015913
base_model.model.model.layers.14.self_attn.k_proj,0.14494179828274595,0.039782245180726775
base_model.model.model.layers.14.self_attn.o_proj,0.2413032912700152,0.06873923268454118
base_model.model.model.layers.14.self_attn.q_proj,0.1042051236820597,0.02962582100645945
base_model.model.model.layers.14.self_attn.v_proj,0.18251923747253113,0.05288935974062018
base_model.model.model.layers.15.self_attn.k_proj,0.17678698491800546,0.050499070917312545
base_model.model.model.layers.15.self_attn.o_proj,0.22495126617734976,0.06221716149953767
base_model.model.model.layers.15.self_attn.q_proj,0.14059629553362943,0.03884241647569714
base_model.model.model.layers.15.self_attn.v_proj,0.19537539917969982,0.0557761932709142
base_model.model.model.layers.16.self_attn.k_proj,0.2257297941739409,0.06504936472202637
base_model.model.model.layers.16.self_attn.o_proj,0.1521696001931644,0.04217033715862009
base_model.model.model.layers.16.self_attn.q_proj,0.13036003869863144,0.03586385914246741
base_model.model.model.layers.16.self_attn.v_proj,0.17309556198993692,0.047522211083243344
base_model.model.model.layers.17.self_attn.k_proj,0.18838583216761862,0.05365975052036237
base_model.model.model.layers.17.self_attn.o_proj,0.15829715038532685,0.04303629282258268
base_model.model.model.layers.17.self_attn.q_proj,0.1820653697693613,0.05153467671911059
base_model.model.model.layers.17.self_attn.v_proj,0.09854314481501951,0.02759824914549181
base_model.model.model.layers.18.self_attn.k_proj,0.18867623345882473,0.05290975136092823
base_model.model.model.layers.18.self_attn.o_proj,0.14371912104607207,0.03929442911625321
base_model.model.model.layers.18.self_attn.q_proj,0.13543770607228373,0.037069395423487875
base_model.model.model.layers.18.self_attn.v_proj,0.15900714927921275,0.045330938969830266
base_model.model.model.layers.19.self_attn.k_proj,0.146684736659593,0.04059628321904031
base_model.model.model.layers.19.self_attn.o_proj,0.1524345713536412,0.041297554539783655
base_model.model.model.layers.19.self_attn.q_proj,0.18531658032776321,0.05088613945997682
base_model.model.model.layers.19.self_attn.v_proj,0.13527526044018373,0.03753853448332743
base_model.model.model.layers.2.self_attn.k_proj,0.1682265341825862,0.04851416594488066
base_model.model.model.layers.2.self_attn.o_proj,0.09928205369349999,0.02732792782016727
base_model.model.model.layers.2.self_attn.q_proj,0.08488344472366963,0.023269068855951897
base_model.model.model.layers.2.self_attn.v_proj,0.09289417803445124,0.02571903047098526
base_model.model.model.layers.20.self_attn.k_proj,0.1907372810090553,0.05370653809396573
base_model.model.model.layers.20.self_attn.o_proj,0.23003487078442703,0.06616642566109948
base_model.model.model.layers.20.self_attn.q_proj,0.1733990378469539,0.048879440095547455
base_model.model.model.layers.20.self_attn.v_proj,0.19606433193231548,0.05684482079871371
base_model.model.model.layers.21.self_attn.k_proj,0.1680354288507088,0.04688095873606117
base_model.model.model.layers.21.self_attn.o_proj,0.1129102854841196,0.029935494180913638
base_model.model.model.layers.21.self_attn.q_proj,0.20104380213473422,0.057531841769374176
base_model.model.model.layers.21.self_attn.v_proj,0.17991249754368113,0.05126255344984543
base_model.model.model.layers.22.self_attn.k_proj,0.13743712549153642,0.038316696584162604
base_model.model.model.layers.22.self_attn.o_proj,0.20102033947161185,0.05806255309123379
base_model.model.model.layers.22.self_attn.q_proj,0.15467276874812697,0.04320467457790338
base_model.model.model.layers.22.self_attn.v_proj,0.24280254713189536,0.07049385449006196
base_model.model.model.layers.23.self_attn.k_proj,0.16159286229156494,0.04682564589285442
base_model.model.model.layers.23.self_attn.o_proj,0.06345677077526381,0.016567644311540574
base_model.model.model.layers.23.self_attn.q_proj,0.1675429518830513,0.04815991324190853
base_model.model.model.layers.23.self_attn.v_proj,0.13104083943574063,0.03887448034013029
base_model.model.model.layers.24.self_attn.k_proj,0.10554932645800941,0.03033778944048785
base_model.model.model.layers.24.self_attn.o_proj,0.11650758174404693,0.030575303289635702
base_model.model.model.layers.24.self_attn.q_proj,0.20218486686946646,0.05761981082656557
base_model.model.model.layers.24.self_attn.v_proj,0.16507185061677826,0.04758553890049365
base_model.model.model.layers.25.self_attn.k_proj,0.1339594256926731,0.03962539383699845
base_model.model.model.layers.25.self_attn.o_proj,0.06247157985312954,0.017173002205465596
base_model.model.model.layers.25.self_attn.q_proj,0.17090278161332886,0.049129734637757314
base_model.model.model.layers.25.self_attn.v_proj,0.06685775420292388,0.018607887527682374
base_model.model.model.layers.26.self_attn.k_proj,0.2086982489621595,0.05994701532908703
base_model.model.model.layers.26.self_attn.o_proj,0.04259130812206484,0.011387248845625295
base_model.model.model.layers.26.self_attn.q_proj,0.15822915429584475,0.04496044305772085
base_model.model.model.layers.26.self_attn.v_proj,0.07481081920139962,0.02100432096057105
base_model.model.model.layers.27.self_attn.k_proj,0.12496430702406867,0.03553735541727602
base_model.model.model.layers.27.self_attn.o_proj,0.010696507655338663,0.0026375881935953613
base_model.model.model.layers.27.self_attn.q_proj,0.13398674032013158,0.03775585769475511
base_model.model.model.layers.27.self_attn.v_proj,0.21545020033128745,0.06166411009184962
base_model.model.model.layers.3.self_attn.k_proj,0.12981101562732894,0.03574687595502057
base_model.model.model.layers.3.self_attn.o_proj,0.13731366283583216,0.03726187398627476
base_model.model.model.layers.3.self_attn.q_proj,0.09378049648892636,0.025263580759187707
base_model.model.model.layers.3.self_attn.v_proj,0.10454276500686473,0.028894287808131136
base_model.model.model.layers.4.self_attn.k_proj,0.1070294714307024,0.029696221287319458
base_model.model.model.layers.4.self_attn.o_proj,0.11680590616915908,0.03168222000502932
base_model.model.model.layers.4.self_attn.q_proj,0.14084498250201496,0.040342360515919176
base_model.model.model.layers.4.self_attn.v_proj,0.07324326479744822,0.02031219645497328
base_model.model.model.layers.5.self_attn.k_proj,0.13876658559584434,0.04047601169524773
base_model.model.model.layers.5.self_attn.o_proj,0.10446996411637617,0.02802931002935665
base_model.model.model.layers.5.self_attn.q_proj,0.12854513632259745,0.03625774651669633
base_model.model.model.layers.5.self_attn.v_proj,0.11078467598104194,0.03133683157744205
base_model.model.model.layers.6.self_attn.k_proj,0.11974368569985974,0.03379262528803043
base_model.model.model.layers.6.self_attn.o_proj,0.0624755794970342,0.01629676221239175
base_model.model.model.layers.6.self_attn.q_proj,0.12298434687509716,0.03388854123221574
base_model.model.model.layers.6.self_attn.v_proj,0.07653141842440508,0.02213771741629856
base_model.model.model.layers.7.self_attn.k_proj,0.15978959041053922,0.04442338411688998
base_model.model.model.layers.7.self_attn.o_proj,0.12702530080587102,0.03517228188166768
base_model.model.model.layers.7.self_attn.q_proj,0.1627922648326072,0.04614354038596104
base_model.model.model.layers.7.self_attn.v_proj,0.09867294256256089,0.026602492025850962
base_model.model.model.layers.8.self_attn.k_proj,0.11079648889983572,0.03044984457201274
base_model.model.model.layers.8.self_attn.o_proj,0.16298186494913325,0.045696046995589795
base_model.model.model.layers.8.self_attn.q_proj,0.1243544404659213,0.0347761136604295
base_model.model.model.layers.8.self_attn.v_proj,0.09078096250039741,0.024417359217231455
base_model.model.model.layers.9.self_attn.k_proj,0.15368887826511812,0.043002459808495756
base_model.model.model.layers.9.self_attn.o_proj,0.16921970710425102,0.04663028287841764
base_model.model.model.layers.9.self_attn.q_proj,0.10554488242939986,0.029668825928179383
base_model.model.model.layers.9.self_attn.v_proj,0.11742755813056795,0.03267025588245985
